language_ky,trans_col_type_ky,trans_col_value,status_ky,isdefault,ietf_lang_script_tag,use_as_local_language,is_native,id_no
21,43,Heather Headley,R,N,en,N,Y,0
76,43,ヘザーヘッドリー,R,N,ja-Kana,Y,N,0
75,43,ヘザー・ヘッドリー,R,N,ja-Hani,Y,N,0
73,43,海瑟海德利,R,N,cmn-Hant,Y,N,0
21,41,Me Time,R,N,en,N,Y,0
21,43,Kool Moe Dee,R,N,en,N,Y,0
73,43,柯莫迪,R,N,cmn-Hant,Y,N,0
21,41,Kool Moe Dee,R,N,en,N,Y,0
21,43,Her Voice Cast,R,N,en,N,N,0
21,47,"From the Apple TV+ Original Series ""Her Voice"" - Audio",R,N,en,N,Y,0
21,41,Tell Her,R,N,en,N,Y,0
21,42,Central EU Version,R,N,en,N,Y,0
21,45,(P) 2006 The copyright in this sound recording is owned by Venusnote Limited under exclusive licence to Mute Records Limited,R,N,en,N,Y,0
21,43,Depeche Mode,R,N,en,N,Y,0
21,41,Touring The Angel: Live In Milan,R,N,en,N,Y,0
21,42,Concert Only,R,N,en,N,Y,0
21,43,Leno e Lilian,R,N,en,N,Y,0
18,47,Áudio Oficial,R,N,pt,N,Y,0
18,41,Parem Tudo,R,N,pt,N,Y,0
21,43,Tony Bennett,R,N,en,N,Y,0
75,43,Tony Bennett,R,N,ja-Hani,Y,N,0
76,43,トニーベネット,R,N,ja-Kana,Y,N,0
73,43,東尼班尼特,R,N,cmn-Hant,Y,N,0
21,43,Little Voice Cast,R,N,en,N,N,0
21,47,"From the Apple TV+ Original Series ""Little Voice"" - Audio",R,N,en,N,Y,0
21,41,Simple and True,R,N,en,N,Y,0
