"GROUP_ID","PRODUCT_ID","ISRC_NUMBER_TX","FUNCTIONALITY_NM","ISRC_COUNTRY_CD","SCHEDULE_START_DT","SCHEDULE_END_DT"
35,G010002401696Y,GBKCF1100189,PERMANENT_DWNLOAD_TETHERED,US,7/23/2013,
36,G010002995803L,USUS11100165,PERMANENT_DOWNLOAD_TETHERED,US,7/23/2013,
370,G0100033861531,CA9EP1500018,PERMANENT_DOWNLOAD,CAA,8/14/2015,
46,G0100027457552,SEVWR0200101,PERMANENT_DOWNLOAD_TETHERED,CA,5/6/200290,
11,G010002989360B,NLBV21200007,PERMANENT_DOWNLOAD_TETHERED,US,7/23/2013,
28,G010001891975C,BEP010900179,PERMANENT_DOWNLOAD_TETHERED,US,7/23/2013,
24,G0100018919858,BEP010900169,PERMANENT_DOWNLOAD_TETHERED,US,7/23/2013,
16,G0100027331377,CA36C1109211,PERMANENT_DOWNLOAD_TETHERED,CA,11/25/2013,
70,G010002984434D,USUS10710639,PERMANENT_DOWNLOAD_TETHERED,US,7/23/2013,
61,G0100029700029,USUS10910416,PERMANENT_DOWNLOAD_TETHERED,US,7/23/2013,
179,G0100029685513,USUS11200812,PERMANENT_DOWNLOAD_TETHERED,US,7/23/2013,

