ORA_TABLE_NAME,KEY 1,KEY 2,KEY 3
MI2.MI_PRODUCT,PRODUCT_ID,,
MI2.MI_RECORDING_PROJ,GRAS_PROJECT_ID,,
MI2.MI_TALENT,PARTICIPANT_NO,,
,,,
,,,
MI2.MI_OBJECT_SRCKEY,OBJECT_TYPE_ID,SOURCE_SYS_KY,KEY_VALUE_TX
MI2.MI_PERFORMANCE_LOCAL_GENRE,,,
MI2.MI_PERFORMANCE_TALENT_ML,,,
MI2.MI_SPLIT_DEAL,DEAL_NO,,
MI2.MI_SPLIT_RO_PERF_EXCLUDE,,,
MI2.MI_SPLIT_RO_TALENT_INCLUDE,,,
MI2.MI_TALENT_ML_PRONUNCIATION,,,
MI2.MI_TRACK_FOCUS_INCLUDE,,,
mi2.mi_performance_extract2_pgmv,,,
mi2.mi_recording_proj_ml_pgmv,,,
mi2.mi_rec_proj_contract_pgmv,,,
mi2.mi_rec_proj_country_pgmv,,,
mi2.mi_rec_proj_prod_pgmv,,,
mi2.mi_mi_rec_proj_tal_pgmv,,,
mi2.mi_rec_proj_tal_ml_pgmv,,,
mi2.mi_genre_product_pgmv,,,
mi2.mi_overridedisptxt_role_ml_pgmv,,,
MI2.MI_IMPRINT_LABEL,RAAS_LABEL_KY,RAAS_LABEL_EXT,
MI2.MI_LOCAL_GENRE,RAAS_LOCAL_GENRE_KY,COUNTRY_KY,
MI2.MI_MASTER_CLONE_PRODUCT_NEW,PROD_NO,COUNTRY_KEY,LOC_PROD_NO
MI2.MI_OVERRIDEDISPTXT_ROLE,OVERRIDE_DISP_TXT_ROLE,,
MI2.MI_PUBLISHER_LOOKUP,PUBLISHER_NAME,,
mi2.mi_performance_extract1_pgmv,TRACK_EXT,TRACK_NO,
mi2.mi_performance_extract3_pgmv,,,
mi2.mi_product_extract2_pgmv,,,
mi2.mi_product_extract4_pgmv,,,
mi2.mi_product_extract3_pgmv,,,
mi2.mi_split_ro_perf_ie_extract1_pgmv,,,
mi2.mi_performance_extract4_pgmv,,,
 mi2.mi_rel_lp_prod_extract1_pgmv,,,
mi2.mi_split_ro_talent_ie_pgmv,,,
mi2.mi_talent_info_pgmv,,,
mi2.mi_track_focus_ie_pgmv,,,
testuser.mi_track_master_info1_pgmv,,,
mi2.mi_bonus_extract_pgmv,,,
mi2.mi_mi_perf_rec_proj_pgmv,,,
